Code_BV_Complet;Libellé commune;Exprimés;PCT_RN;PCT_UG;PCT_ENS
33335506;Villenave-d'Ornon;642;21.18;45.48;30.06
33335507;Villenave-d'Ornon;664;25.75;42.92;27.71
33335508;Villenave-d'Ornon;975;33.13;40.72;22.97
33335509;Villenave-d'Ornon;474;25.95;43.67;28.06
333355010;Villenave-d'Ornon;402;30.1;40.8;26.87
333355011;Villenave-d'Ornon;621;30.27;39.29;28.02
333355012;Villenave-d'Ornon;667;32.68;35.53;26.84
333355013;Villenave-d'Ornon;695;28.35;41.87;26.04
333355014;Villenave-d'Ornon;696;28.16;35.63;33.48
333355015;Villenave-d'Ornon;489;30.27;38.85;28.63
333355016;Villenave-d'Ornon;453;25.83;37.97;31.79
333355017;Villenave-d'Ornon;594;27.1;41.92;27.44
333355018;Villenave-d'Ornon;692;26.45;35.69;34.83
333355019;Villenave-d'Ornon;628;26.27;37.1;34.24
333355020;Villenave-d'Ornon;718;29.81;37.74;29.39
333355021;Villenave-d'Ornon;524;26.53;39.89;30.92
333355022;Villenave-d'Ornon;640;30.16;37.19;28.91
333355023;Villenave-d'Ornon;711;25.6;38.26;32.63
333355024;Villenave-d'Ornon;638;26.65;42.16;27.12
333355025;Villenave-d'Ornon;655;25.34;39.24;32.21
333355026;Villenave-d'Ornon;625;25.44;42.24;28.64
333355027;Villenave-d'Ornon;607;23.39;44.98;28.17
333355028;Villenave-d'Ornon;645;31.32;45.43;20.78
33335511;Villeneuve;219;54.34;19.63;24.2
33335521;Virelade;602;40.86;30.23;24.58
33335531;Virsac;553;55.52;21.7;20.61
33335541;Yvrac;638;36.99;28.53;24.76
33335542;Yvrac;834;32.25;27.7;29.26
33335551;Marcheprime;1001;45.65;23.48;20.88
33335552;Marcheprime;924;40.58;22.08;25.97
33335553;Marcheprime;660;42.73;22.12;24.09
33335554;Marcheprime;372;43.28;25.81;20.7
40400011;Aire-sur-l'Adour;757;33.95;37.12;19.15
40400012;Aire-sur-l'Adour;666;40.84;29.88;16.82
40400013;Aire-sur-l'Adour;945;34.5;35.56;18.62
40400014;Aire-sur-l'Adour;760;33.55;36.32;19.34
40400021;Amou;867;33.56;33.33;19.61
40400031;Angoumé;156;35.26;29.49;27.56
40400041;Angresse;650;31.08;29.85;28.92
40400042;Angresse;562;30.78;22.42;34.34
40400051;Arboucave;126;25.4;29.37;24.6
40400061;Arengosse;424;42.92;35.14;13.21
40400071;Argelos;101;41.58;36.63;16.83
40400081;Argelouse;54;27.78;33.33;25.93
40400111;Arsague;226;36.73;35.84;21.24
40400121;Artassenx;130;40.0;28.46;20.77
40400131;Arthez-d'Armagnac;57;43.86;24.56;22.81
40400141;Arue;215;38.6;28.37;25.58
40400151;Arx;44;52.27;11.36;31.82
40400161;Aubagnan;158;35.44;38.61;18.35
40400171;Audignon;224;42.86;35.71;11.16
40400181;Audon;212;39.62;31.6;15.57
40400191;Aureilhan;661;42.66;24.96;25.57
40400201;Aurice;419;32.22;41.05;12.89
40400211;Azur;603;28.03;32.67;28.03
40400221;Bahus-Soubiran;220;41.82;24.09;17.73
40400231;Baigts;182;45.05;35.16;12.09
40400241;Banos;165;22.42;49.09;10.91
40400251;Bascons;547;34.55;35.1;15.72
